REF_DATE,GEO,Age group,VALUE
2013,Manitoba,70 to 74 years,40820
2013,Manitoba,75 to 79 years,31397
2013,Manitoba,80 to 84 years,25345
2013,Manitoba,85 to 89 years,16977
2013,Manitoba,65 years and older,182735
2013,Manitoba,90 years and older,11025
2013,Saskatchewan,All ages,1098868
2013,Saskatchewan,65 to 69 years,46869
2013,Saskatchewan,70 to 74 years,34831
2013,Saskatchewan,75 to 79 years,28453
2013,Saskatchewan,80 to 84 years,23488
2013,Saskatchewan,85 to 89 years,15982
2013,Saskatchewan,65 years and older,159973
2013,Saskatchewan,90 years and older,10350
2013,Alberta,All ages,3978532
2013,Alberta,65 to 69 years,148789
2013,Alberta,70 to 74 years,102996
2013,Alberta,75 to 79 years,78059
2013,Alberta,80 to 84 years,59886
2013,Alberta,85 to 89 years,36076
2013,Alberta,65 years and older,445947
2013,Alberta,90 years and older,20141
2013,British Columbia,All ages,4634943
2013,British Columbia,65 to 69 years,244434
2013,British Columbia,70 to 74 years,174591
2013,British Columbia,75 to 79 years,130659
2013,British Columbia,80 to 84 years,100046
2013,British Columbia,85 to 89 years,62251
2013,British Columbia,65 years and older,749449
2013,British Columbia,90 years and older,37468
2014,Newfoundland and Labrador,All ages,527970
2014,Newfoundland and Labrador,65 to 69 years,34554
2014,Newfoundland and Labrador,70 to 74 years,22683
2014,Newfoundland and Labrador,75 to 79 years,15865
2014,Newfoundland and Labrador,80 to 84 years,10643
2014,Newfoundland and Labrador,85 to 89 years,5939
2014,Newfoundland and Labrador,65 years and older,92882
2014,Newfoundland and Labrador,90 years and older,3198
2014,Prince Edward Island,All ages,144095
2014,Prince Edward Island,65 to 69 years,9128
2014,Prince Edward Island,70 to 74 years,6107
2014,Prince Edward Island,75 to 79 years,4469
2014,Prince Edward Island,80 to 84 years,3229
2014,Prince Edward Island,85 to 89 years,1871
2014,Prince Edward Island,65 years and older,25988
2014,Prince Edward Island,90 years and older,1184
2014,Nova Scotia,All ages,937768
2014,Nova Scotia,65 to 69 years,59240
2014,Nova Scotia,70 to 74 years,41172
2014,Nova Scotia,75 to 79 years,29729
2014,Nova Scotia,80 to 84 years,20966
2014,Nova Scotia,85 to 89 years,12803
2014,Nova Scotia,65 years and older,172318
2014,Nova Scotia,90 years and older,8408
2014,New Brunswick,All ages,758657
2014,New Brunswick,65 to 69 years,47831
2014,New Brunswick,70 to 74 years,33144
2014,New Brunswick,75 to 79 years,23484
2014,New Brunswick,80 to 84 years,17041
2014,New Brunswick,85 to 89 years,10603
2014,New Brunswick,65 years and older,138915
2014,New Brunswick,90 years and older,6812
2014,Quebec,All ages,8147535
2014,Quebec,65 to 69 years,458402
2014,Quebec,70 to 74 years,335412
2014,Quebec,75 to 79 years,237051
2014,Quebec,80 to 84 years,183509
2014,Quebec,85 to 89 years,112908
2014,Quebec,65 years and older,1388979
2014,Quebec,90 years and older,61697
2014,Ontario,All ages,13617763
2014,Ontario,65 to 69 years,685959
2014,Ontario,70 to 74 years,493234
2014,Ontario,75 to 79 years,376090
2014,Ontario,80 to 84 years,284184
2014,Ontario,85 to 89 years,179154
2014,Ontario,65 years and older,2120562
2014,Ontario,90 years and older,101941
2014,Manitoba,All ages,1277425
2014,Manitoba,65 to 69 years,59562
2014,Manitoba,70 to 74 years,42403
2014,Manitoba,75 to 79 years,31766
2014,Manitoba,80 to 84 years,25117
2014,Manitoba,85 to 89 years,16999
2014,Manitoba,65 years and older,187156
2014,Manitoba,90 years and older,11309
2014,Saskatchewan,All ages,1111989
2014,Saskatchewan,65 to 69 years,48978
2014,Saskatchewan,70 to 74 years,35559
2014,Saskatchewan,75 to 79 years,28275
2014,Saskatchewan,80 to 84 years,23310
2014,Saskatchewan,85 to 89 years,16020
2014,Saskatchewan,65 years and older,162670
2014,Saskatchewan,90 years and older,10528
2014,Alberta,All ages,4081271
2014,Alberta,65 to 69 years,157280
2014,Alberta,70 to 74 years,107939
2014,Alberta,75 to 79 years,79655
2014,Alberta,80 to 84 years,60754
2014,Alberta,85 to 89 years,37179
2014,Alberta,65 years and older,464049
2014,Alberta,90 years and older,21242
2014,British Columbia,All ages,4712691
2014,British Columbia,65 to 69 years,257989
2014,British Columbia,70 to 74 years,184307
2014,British Columbia,75 to 79 years,133906
2014,British Columbia,80 to 84 years,101272
2014,British Columbia,85 to 89 years,63751
2014,British Columbia,65 years and older,780496
2014,British Columbia,90 years and older,39271
2015,Newfoundland and Labrador,All ages,528348
2015,Newfoundland and Labrador,65 to 69 years,36355
2015,Newfoundland and Labrador,70 to 74 years,23741
2015,Newfoundland and Labrador,75 to 79 years,16208
2015,Newfoundland and Labrador,80 to 84 years,10675
2015,Newfoundland and Labrador,85 to 89 years,6013
2015,Newfoundland and Labrador,65 years and older,96211
2015,Newfoundland and Labrador,90 years and older,3219
2015,Prince Edward Island,All ages,144636
2015,Prince Edward Island,65 to 69 years,9626
2015,Prince Edward Island,70 to 74 years,6319
2015,Prince Edward Island,75 to 79 years,4573
2015,Prince Edward Island,80 to 84 years,3232
2015,Prince Edward Island,85 to 89 years,1879
2015,Prince Edward Island,65 years and older,26794
2015,Prince Edward Island,90 years and older,1165
2015,Nova Scotia,All ages,937419
2015,Nova Scotia,65 to 69 years,61723
